,Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh],PV/Import Power (%),Battery Utilization Rate (%),Grid Utilization rate (%)
103,52658.641,0.0,55888.251,1,1,14.631559280285728,2413.6094,0.0,816.0,0.7116038,0.22,3,1,96
104,52886.114,0.0,56851.841,1,1,14.560543188582322,3149.7279,0.0,816.0,0.70876552,0.22,3,1,96
105,54376.516,0.0,57815.432,1,1,14.489527096878916,2622.9159,0.0,816.0,0.70592727,0.22,3,1,96
106,55287.223,0.0,58779.023,1,1,14.418511005175512,2675.7997,0.0,816.0,0.70308903,0.22,3,1,96
107,56248.449,0.0,59742.613,1,1,14.347494913472106,2678.1636,0.0,816.0,0.70025081,0.22,3,1,96
108,58664.132,0.0,60706.204,0,0,14.2764788217687,2042.0719,0.0,0.0,0.69741262,0.15,3,1,96
109,57411.411,0.0,61248.223,0,0,14.210377271748277,3836.8123,0.0,0.0,0.69740777,0.15,3,1,96
110,58936.34,0.0,61790.243,0,0,14.144275721727851,2853.9027,0.0,0.0,0.69740293,0.15,3,1,96
111,58916.562,0.0,62332.263,0,0,14.078174171707426,3415.7004,0.0,0.0,0.69739809,0.15,3,1,96
112,59367.2,0.0,62874.282,0,0,14.012072621687002,3507.082,0.0,0.0,0.69739325,0.15,3,1,96
113,57114.28,0.0,63416.302,0,0,13.945971071666577,6302.0223,0.0,0.0,0.6973884,0.15,3,1,96
114,59636.572,0.0,63958.322,0,0,13.879869521646151,4321.7495,0.0,0.0,0.69738356,0.15,3,1,96
115,61158.732,0.0,64500.341,0,0,13.813767971625728,3341.609,0.0,0.0,0.69737872,0.15,3,1,96
116,62662.319,0.0,65042.361,0,0,13.747666421605302,2380.0421,0.0,0.0,0.69737387,0.15,3,1,96
117,63066.354,0.0,65584.381,0,0,13.68156487158488,2518.0263,0.0,0.0,0.69736903,0.15,3,1,96
118,63811.062,0.0,66126.4,0,0,13.615463321564452,2315.3387,0.0,0.0,0.69736419,0.15,3,1,96
119,64898.602,0.0,66668.42,0,0,13.54936177154403,1769.8182,0.0,0.0,0.69735934,0.15,3,1,96
120,65589.682,0.0,67210.44,0,0,13.483260221523604,1620.7574,0.0,0.0,0.6973545,0.15,3,1,96
121,65921.965,0.0,67632.011,0,0,13.427461176937914,1710.0453,0.0,0.0,0.69734966,0.15,3,1,96
122,66525.151,0.0,68053.581,0,0,13.371662132352224,1528.4302,0.0,0.0,0.69734482,0.15,3,1,96
123,66901.808,0.0,68475.152,0,0,13.315863087766534,1573.3443,0.0,0.0,0.69733997,0.15,3,1,96
124,67474.736,0.0,68896.723,0,0,13.260064043180842,1421.9872,0.0,0.0,0.69733513,0.15,3,1,96
125,67070.158,0.0,69318.294,0,0,13.204264998595152,2248.1364,0.0,0.0,0.69733029,0.15,3,1,96
126,67456.0,0.0,69739.865,0,0,13.14846595400946,2283.8651,0.0,0.0,0.69732545,0.15,3,1,96
127,67141.79,0.0,70161.436,0,0,13.092666909423771,3019.6459,0.0,0.0,0.6973206,0.15,3,1,96
128,68223.497,0.0,70583.007,0,0,13.03686786483808,2359.5099,0.0,0.0,0.69731576,0.15,3,1,96
129,68714.093,0.0,71004.577,0,0,12.98106882025239,2290.484,0.0,0.0,0.69731092,0.15,3,1,96
130,69357.803,0.0,71426.148,0,0,12.9252697756667,2068.345,0.0,0.0,0.69730608,0.15,3,1,96
131,68803.151,0.0,71847.719,0,0,12.869470731081009,3044.5681,0.0,0.0,0.69730123,0.15,3,1,96
132,69388.169,0.0,72269.29,0,0,12.81367168649532,2881.1213,0.0,0.0,0.69729639,0.15,3,1,96
133,64431.251,0.0,71185.251,0,0,12.772723349751162,6754.0,0.0,0.0,0.69729155,0.15,3,1,96
134,65677.071,0.0,70101.211,0,0,12.731775013007008,4424.1402,0.0,0.0,0.69728671,0.15,3,1,96
135,66358.527,0.0,69017.172,0,0,12.690826676262851,2658.6446,0.0,0.0,0.69728186,0.15,3,1,96
136,65090.036,0.0,67933.133,0,0,12.649878339518695,2843.0963,0.0,0.0,0.69727702,0.15,3,1,96
137,64175.522,0.0,66849.093,0,0,12.60893000277454,2673.5709,0.0,0.0,0.69727218,0.15,3,1,96
138,63036.235,0.0,65765.054,0,0,12.567981666030384,2728.8186,0.0,0.0,0.69726734,0.15,3,1,96
139,61712.564,0.0,64681.015,0,0,12.527033329286228,2968.4505,0.0,0.0,0.6972625,0.15,3,1,96
140,60551.664,0.0,63596.975,0,0,12.486084992542072,3045.3111,0.0,0.0,0.69725765,0.15,3,1,96
141,59762.775,0.0,62512.936,0,0,12.445136655797915,2750.1613,0.0,0.0,0.69725281,0.15,3,1,96
142,58685.287,0.0,61428.896,0,0,12.40418831905376,2743.6099,0.0,0.0,0.69724797,0.15,3,1,96
143,56924.159,0.0,60344.857,0,0,12.363239982309606,3420.6984,0.0,0.0,0.69724313,0.15,3,1,96
144,54104.206,0.0,59260.818,0,0,12.32229164556545,5156.6115,0.0,0.0,0.69723829,0.15,3,1,96
