,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
10,2035,77.50945306978227,27.35855399375942,7.125362695304815,100.0,100.0,100.00000000000001,408.5735603412251,213.58054862713254,224.43916077405135,4.270446853779223,12.098592640367698,46.45377563981537,0.0,2.735855399375942,29.781340673826204,35.62681347652407,2860.455185723909,17552.62160943939,105864.80291570326,123029.46399304827,137721.63041676374,226033.8117230276,48525.06294049021,63217.22936420569,151529.41067046954
11,2036,100.47426429138949,35.152187302717174,9.296290162660531,100.0,100.00000000000001,100.0,519.2082943801244,269.0246729555766,287.0599014300339,3.9612133794355944,11.322197295223095,42.812777251575724,0.0,3.5152187302717177,30.32407254066513,46.48145081330266,3324.7191372244024,18832.785054432585,109979.31814085138,153345.29633542043,168853.3622526286,259999.89533904742,60356.60933078388,75864.67524799207,167011.20833441085
12,2037,129.70476281049426,44.99892813792357,12.044980105261484,100.0,100.0,100.0,674.7903096763102,346.71134607541984,374.45106846382373,3.8934576422442757,11.222489532465177,41.92617966877389,0.0,4.499892813792357,31.011245026315372,60.22490052630742,3880.107375218431,20352.899664036584,114875.49938140337,191809.72667175502,208282.51896057316,302805.11867794,75361.29813349643,91834.09042231458,186356.69013968136
13,2038,165.07956483141945,57.18350457388875,15.296716122875749,100.0,100.0,100.0,869.1477756850796,445.8862165755438,481.25426184310135,3.701245521357886,10.684899509971554,39.943213634347906,0.0,5.718350457388875,31.824179030718938,76.48358061437874,4511.8102391142675,22120.77905969813,120319.33979960847,237346.9151000966,254955.88392068044,353154.44466059085,93120.57044248586,110729.53926306972,208928.10000298006
14,2039,204.69892712116342,71.19591891830738,18.855805225834054,100.00000000000001,100.0,100.0,1140.8282765435952,587.6419375021818,627.9511610416763,3.346378066723043,9.621337998123071,36.32833452593644,0.0,7.119591891830739,32.71395130645851,94.27902612917026,5176.753640753783,24031.571614324825,125919.33090422263,286242.6185910887,305097.4365646597,406985.19585455756,112187.7242792589,131042.54225282994,232930.30154272777
15,2040,254.95117243912642,88.40624106181978,23.416366861544155,100.0,100.0,100.0,1436.9083709603688,737.9177518197099,788.6197488044,3.3888841998021935,9.773065675259637,36.89726955119223,0.0,8.840624106181979,33.85409171538604,117.08183430772078,5969.4211243629525,26237.279222147634,132663.44917585928,346823.2862422827,367091.1443400674,473517.3142937791,135844.57354008616,156112.43163787085,262538.6015915825
16,2041,315.7557833946393,110.03649921057486,28.753345643513647,100.00000000000001,100.0,100.0,1819.2740362168518,938.9371964024712,989.9454557493161,3.315853754898398,9.515024628295153,36.41315389801216,0.0,11.003649921057487,35.188336410878414,143.76672821756824,6870.847908353647,28842.706862993233,140081.0028326512,417787.8372323079,439759.69618694746,550997.9921566055,163581.07514017017,185552.93409480978,296791.23006446776
17,2042,387.02972966627976,135.0920291715344,35.21182601655147,100.0,99.99999999999999,99.99999999999997,2250.4554137067644,1163.3456844766781,1223.4626268396462,3.1858017756495514,9.127111403696412,35.01664467558209,0.0,13.50920291715344,36.80295650413787,176.05913008275735,7863.925360552964,31679.183944235607,148517.3401569495,498078.6771762463,521893.9357599289,638732.0919726428,194991.3350495182,218806.5936332009,335644.7498459148
18,2043,468.83075872790783,164.37725526991426,42.63085696547944,100.0,100.0,100.0,2775.017531939789,1440.9348008589827,1507.8209424488145,3.033077445384245,8.650831878565056,33.356120454052146,0.0,16.437725526991425,38.65771424136986,213.1542848273972,8935.122625709904,34795.07768708732,157625.46861714317,586580.7334250149,612440.6884863923,735271.0794164481,229640.15009074513,255500.1051521226,378330.49608217843
19,2044,560.6158922567711,197.44396744982456,51.2956587921156,100.00000000000001,100.0,99.99999999999999,3347.7037646468225,1746.137569011962,1830.3675230628407,2.878976536863429,8.174471070685701,31.46465096668336,0.0,19.744396744982456,40.8239146980289,256.478293960578,10064.766116471756,38101.6912665716,167623.142606393,682514.3858990241,710551.3110491239,840072.7623889453,267190.54333660926,295227.4684867091,424748.9198265305
20,2045,663.8760150219613,234.52931909636538,60.95048099242463,100.0,99.99999999999999,100.0,4020.1827242998866,2103.3373252564643,2205.525205734117,2.7264127021370466,7.717585191369152,29.696238167914704,0.0,23.45293190963654,43.237620248106154,304.75240496212314,11856.40850236762,59014.11901807446,230442.60845804986,785890.9984195624,833048.7089352692,1004477.1983752446,307992.59594669024,355150.3064623971,526578.7959023725
21,2046,780.8211868762647,275.3638182490593,72.09108525001426,100.0,100.0,99.99999999999997,4855.693199360483,2536.059836450553,2678.9048387887915,2.6190375394156247,7.426538508230415,28.366891591489747,0.0,27.53638182490593,46.022771312503565,360.4554262500713,13127.76720623199,62621.0381634047,241797.05128525215,896901.1511940511,946394.4221512239,1125570.4352730713,351370.0738160701,400863.34477324283,580039.3578950902
22,2047,911.0530898632804,320.7954204824475,84.67293887464584,100.0,100.0,99.99999999999999,5808.762770414295,3029.152139170348,3225.9725108135626,2.508086548878183,7.122919636956055,26.986189807145248,0.0,32.079542048244754,49.16823471866146,423.3646943732292,14458.410234486397,66392.63792141515,253849.0778702357,1015353.0818677073,1067287.309554636,1254743.7495034565,397563.3352086092,449497.56289553794,636954.0028443584
23,2048,1055.2651251312695,370.57247719491187,98.7195021679639,99.99999999999999,100.0,100.0,6941.628199969875,3610.1553894630847,3880.4205281564173,2.3965541358010913,6.824575907912905,25.618038426663603,0.0,37.05724771949119,52.679875541990974,493.5975108398195,15843.26444050033,70276.42248601891,266494.8078759552,1140563.8069605837,1194996.9650061023,1391215.3503960385,446272.628481552,500705.78652707057,696924.1719170068
24,2049,1215.597831800857,426.78217287606225,114.17540863022266,100.0,100.00000000000001,100.0,8321.915892487164,4327.05730876762,4670.700864062753,2.3157329886231337,6.595870631216542,24.655046421746363,0.0,42.67821728760623,56.54385215755566,570.8770431511133,17290.312797646184,74398.30419393782,279572.36655786575,1274421.5660140621,1331529.5574103538,1536703.6197742817,498133.7337446122,555241.7251409038,760415.7875048317
25,2050,1388.079942874304,486.81722877665067,130.9544829896888,100.0,99.99999999999999,100.0,9794.997925950081,5087.5510583474015,5521.871723209507,2.182871394082508,6.224101820747492,23.13781041187096,0.0,48.68172287766507,60.7386207474222,654.7724149484441,18753.376889099534,78535.89541140059,292915.5226776404,1411975.9172154965,1471758.4357377975,1686138.0630040374,551249.4724579053,611031.9909802064,825411.6182464461
26,2051,1573.3570046878792,551.1717197279836,148.89025886413287,100.0,100.0,100.00000000000001,11492.095896677614,5962.273046951072,6498.5179378056555,2.065011304058441,5.894714630140057,21.821441004846506,0.0,55.11717197279836,65.22256471603322,744.4512943206644,21783.30658522336,87086.82097170905,320413.6007989893,1701250.6802531255,1766554.194639611,1999880.9744668915,662533.7301173601,727837.2445038458,961164.024331126
27,2052,1772.220121274896,620.7103318280564,168.14066109675903,100.0,100.0,100.00000000000001,13481.016677169082,6992.732720552273,7642.823093599644,1.9709741233990803,5.627423648181837,20.774273023643588,0.0,62.07103318280564,70.03516527418975,840.7033054837951,24925.44120906589,96014.11697689173,348929.1428663842,2007610.8877820647,2078699.5635498904,2331614.589439383,779902.0486156822,850990.724383508,1103905.7502730004
28,2053,1992.6967727232247,697.0501739256607,189.2209810448243,100.00000000000003,99.99999999999997,100.00000000000001,16034.527139127684,8306.765510355424,9098.30105401547,1.9325569513204024,5.524709904757449,20.351865732520125,0.0,69.70501739256608,75.30524526120607,946.1049052241215,28291.27604832792,105483.13240347893,379099.376385682,2344202.6384422733,2421394.494797424,2695010.738779627,930318.4039223823,1007510.2602775332,1281126.5042597363
29,2054,2228.9349488270227,778.151915202052,211.42966827618878,100.0,100.0,100.0,18692.663039760784,9664.761598161676,10595.361663730811,1.839443543275063,5.268894055134992,19.391791291296947,0.0,77.8151915202052,80.85741706904719,1057.148341380944,31775.771711230023,115202.62057823826,409809.6730392316,2697647.976205635,2781074.825072643,3075681.877533636,1117568.2107429302,1200995.0596099384,1495602.1120709318
30,2055,2484.083271297623,865.6463592121748,235.3526407900893,100.0,100.0,100.0,22149.82789403664,11431.354271275528,12540.052517864993,1.7809386871676862,5.110632018398697,18.79732466628985,0.0,86.56463592121749,86.83816019752233,1176.7632039504465,37230.00203909018,175988.76440273272,601582.5420822701,3078953.6979461024,3217712.460309745,3643306.2379892822,1355319.6878928822,1494078.4502565248,1919672.2279360623
