Import Power [kW],Export Power [kW],Load Power [kW],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],PV/Import Power (%),Battery Utilization Rate (%),Profit surplus energy - [USD]
27686.942,0.0,28502.942,0.0,0.0,816.0,0.0,2.8628623669795212,0.0
27714.508,0.0,28530.508,0.0,0.0,816.0,0.0,2.8600962871043167,0.0
27742.074,0.0,28558.074,0.0,0.0,816.0,0.0,2.8573355472081206,0.0
27769.64,0.0,28585.64,0.0,0.0,816.0,0.0,2.8545801318424218,0.0
27797.205,0.0,28613.205,1.5400144e-19,0.0,816.0,5.382180709920471e-22,2.851830125286559,0.0
27824.771,0.0,28640.771,0.0,0.0,816.0,0.0,2.8490853126823996,0.0
27852.337,0.0,28668.337,1.7600682999999998e-19,0.0,816.0,6.1394154115043365e-22,2.8463457786198063,0.0
27879.902,0.0,28695.902,0.0,0.0,816.0,0.0,2.8436116069813733,0.0
27907.468,0.0,28723.468,0.0,0.0,816.0,0.0,2.8408825842339094,0.0
27935.034,0.0,28751.034,1.7600682999999998e-19,0.0,816.0,6.121756525347923e-22,2.8381587945671796,0.0
27962.599,0.0,28778.599,0.0,0.0,816.0,0.0,2.8354403214694366,0.0
27576.68,0.0,28392.68,0.0,0.0,816.0,0.0,2.873980194895304,0.0
27190.76,0.0,28006.76,0.0,0.0,816.0,0.0,2.913582292275151,0.0
26804.84,0.0,27620.84,0.0,0.0,816.0,0.0,2.9542910353197076,0.0
26418.92,0.0,27234.92,0.0,0.0,816.0,0.0,2.9961534676804633,0.0
26033.0,0.0,26849.0,0.0,0.0,816.0,0.0,3.0392193377779435,0.0
25647.08,0.0,26463.08,1.7603863999999999e-19,0.0,816.0,6.652235491862624e-22,3.0835412960244986,0.0
25261.16,0.0,26077.16,0.0,0.0,816.0,0.0,3.1291751095594766,0.0
24875.24,0.0,25691.24,0.0,0.0,816.0,0.0,3.176179896338207,0.0
24489.32,0.0,25305.32,0.0,0.0,816.0,0.0,3.224618380640909,0.0
24570.451,0.0,24919.4,0.0,0.0,348.94943,0.0,1.4003123027787872,0.0
24533.48,0.0,24533.48,0.0,0.0,0.0,0.0,0.0,0.0
24997.56,0.0,24147.56,0.0,850.0,0.0,0.0,0.0,0.0
23922.498,0.0,23072.498,0.0,850.0,0.0,0.0,0.0,0.0
22847.435,0.0,21997.435,0.0,850.0,0.0,0.0,0.0,0.0
21772.373,0.0,20922.373,0.0,850.0,0.0,0.0,0.0,0.0
20697.31,0.0,19847.31,2.6405115e-19,850.0,0.0,1.275775209435429e-21,0.0,0.0
19622.247,0.0,18772.247,0.0,850.0,0.0,0.0,0.0,0.0
18547.185,0.0,17697.185,0.0,850.0,0.0,0.0,0.0,0.0
17472.122,0.0,16622.122,0.0,850.0,0.0,0.0,0.0,0.0
16397.059,0.0,15547.06,0.0,850.0,0.0,0.0,0.0,0.0
15321.997,0.0,14471.997,0.0,850.0,0.0,0.0,0.0,0.0
14246.934,0.0,13396.934,0.0,850.0,0.0,0.0,0.0,0.0
13171.872,0.0,12321.872,0.0,850.0,0.0,0.0,0.0,0.0
12096.809,0.0,11246.809,0.0,850.0,0.0,0.0,0.0,0.0
11380.101,0.0,10530.101,0.0,850.0,0.0,0.0,0.0,0.0
10663.392,0.0,9813.3922,0.0,850.0,0.0,0.0,0.0,0.0
9946.6837,0.0,9096.6838,0.0,850.0,0.0,0.0,0.0,0.0
9229.9753,0.0,8379.9753,0.0,850.0,0.0,0.0,0.0,0.0
8513.2669,0.0,7663.2669,0.0,850.0,0.0,0.0,0.0,0.0
7796.5585,0.0,6946.5585,0.0,850.0,0.0,0.0,0.0,0.0
7079.8501,0.0,6229.8501,0.0,850.0,0.0,0.0,0.0,0.0
6363.1417,0.0,5513.1417,0.0,850.0,0.0,0.0,0.0,0.0
5646.4333,0.0,4796.4332,0.0,850.0,0.0,0.0,0.0,0.0
4929.7248,0.0,4079.7248,0.0,850.0,0.0,0.0,0.0,0.0
4213.0164,0.0,3363.0164,0.0,850.0,0.0,0.0,0.0,0.0
3496.308,0.0,2646.308,0.0,850.0,0.0,0.0,0.0,0.0
3303.348,0.0,2453.348,0.0,850.0,0.0,0.0,0.0,0.0
3110.3881,0.0,2260.3881,0.0,850.0,0.0,0.0,0.0,0.0
2917.4281,0.0,2067.4281,0.0,850.0,0.0,0.0,0.0,0.0
2724.4682,0.0,1874.4682,0.0,850.0,0.0,0.0,0.0,0.0
2531.5082,0.0,1681.5082,0.0,850.0,0.0,0.0,0.0,0.0
2338.5483,0.0,1488.5483,0.0,850.0,0.0,0.0,0.0,0.0
2145.5883,0.0,1295.5883,0.0,850.0,0.0,0.0,0.0,0.0
1952.6283,0.0,1102.6283,0.0,850.0,0.0,0.0,0.0,0.0
1759.6684,0.0,909.66837,0.0,850.0,0.0,0.0,0.0,0.0
1566.7084,0.0,716.70842,0.0,850.0,0.0,0.0,0.0,0.0
1373.7485,0.0,523.74846,0.0,850.0,0.0,0.0,0.0,0.0
330.7885,0.0,330.7885,0.0,0.0,0.0,0.0,0.0,0.0
