Hora,P_carga [kW],FC red
2025-01-01 11:45:00,1337424.412708911,10.287880097760855
2025-01-01 11:50:00,1331226.0690516727,10.240200531166714
2025-01-01 11:55:00,1325027.7263944345,10.192520972264882
2025-01-01 12:00:00,1318829.3837371962,10.144841413363048
2025-01-01 12:05:00,1316900.3623228865,10.130002787099128
2025-01-01 12:10:00,1314971.340908577,10.115164160835208
2025-01-01 12:15:00,1313042.3194942677,10.100325534571292
2025-01-01 12:20:00,1311113.298079958,10.085486908307368
2025-01-01 12:25:00,1309184.2766656482,10.070648282043448
2025-01-01 12:30:00,1307255.2552513387,10.05580965577953
2025-01-01 12:35:00,1305326.2338370292,10.04097102951561
2025-01-01 12:40:00,1303397.2134227196,10.026132410943998
2025-01-01 12:45:00,1301468.19200841,10.011293784680078
2025-01-01 12:50:00,1299539.1705941004,9.996455158416158
2025-01-01 12:55:00,1297610.1491797906,9.981616532152236
2025-01-01 13:00:00,1295681.1277654814,9.966777905888318
2025-01-01 13:05:00,1296699.5041797908,9.974611570613776
2025-01-01 13:10:00,1297717.8795941004,9.982445227646927
2025-01-01 13:15:00,1298736.25600841,9.990278892372384
2025-01-01 13:20:00,1299754.6314227197,9.998112549405535
2025-01-01 13:25:00,1300773.0078370292,10.005946214130995
2025-01-01 13:30:00,1301791.3832513387,10.013779871164145
2025-01-01 13:35:00,1302809.7596656482,10.021613535889603
2025-01-01 13:40:00,1303828.135079958,10.029447192922754
2025-01-01 13:45:00,1304846.5114942675,10.037280857648213
2025-01-01 13:50:00,1305864.887908577,10.04511452237367
2025-01-01 13:55:00,1306883.2633228863,10.052948179406817
2025-01-01 14:00:00,1307901.6397371965,10.060781844132281
2025-01-01 14:05:00,1306427.9403228865,10.049445694791435
2025-01-01 14:10:00,1304954.2419085768,10.038109553142899
2025-01-01 14:15:00,1303480.5434942674,10.026773411494366
2025-01-01 14:20:00,1302006.845079958,10.015437269845831
2025-01-01 14:25:00,1300533.1456656484,10.004101120504988
2025-01-01 14:30:00,1299059.4472513387,9.992764978856453
2025-01-01 14:35:00,1297585.748837029,9.981428837207917
2025-01-01 14:40:00,1296112.0504227194,9.97009269555938
2025-01-01 14:45:00,1294638.3520084098,9.958756553910845
2025-01-01 14:50:00,1293164.6525941005,9.947420404570003
2025-01-01 14:55:00,1291690.9541797908,9.936084262921469
2025-01-01 15:00:00,1290217.2557654814,9.924748121272934
2025-01-01 15:05:00,1290824.3527654812,9.92941809819601
2025-01-01 15:10:00,1291431.4497654813,9.934088075119087
2025-01-01 15:15:00,1292038.5467654814,9.938758052042164
2025-01-01 15:20:00,1292645.6427654813,9.943428021272933
2025-01-01 15:25:00,1293252.739765481,9.948097998196008
2025-01-01 15:30:00,1293859.8367654814,9.952767975119087
2025-01-01 15:35:00,1294466.9337654812,9.957437952042163
2025-01-01 15:40:00,1295074.0307654813,9.96210792896524
2025-01-01 15:45:00,1295681.1277654814,9.966777905888318
2025-01-01 15:50:00,1296288.2247654812,9.971447882811395
2025-01-01 15:55:00,1296895.3217654813,9.976117859734472
2025-01-01 16:00:00,1297502.418765481,9.980787836657548
2025-01-01 16:05:00,1320379.864808744,10.156768190836493
2025-01-01 16:10:00,1343257.310852007,10.33274854501544
2025-01-01 16:15:00,1366134.7568952695,10.508728899194383
2025-01-01 16:20:00,1389012.2039385326,10.684709261065635
