Hora,P_base [kW],P_VE [kW],P_DER [kW],P_carga [kW]
2025-01-01 04:05:00,248894.37009434955,260.97621,0.0,249155.34630434954
2025-01-01 04:10:00,254255.1719117663,521.95242,0.0,254777.12433176627
2025-01-01 04:15:00,259615.97372918305,782.92863,0.0,260398.90235918306
2025-01-01 04:20:00,264976.7755465998,1043.9048,0.0,266020.68034659984
2025-01-01 04:25:00,270337.57736401656,1304.881,0.0,271642.45836401655
2025-01-01 04:30:00,275698.37918143335,1565.8573,0.0,277264.2364814333
2025-01-01 04:35:00,281059.1809988501,1826.8335,0.0,282886.0144988501
2025-01-01 04:40:00,286419.9828162669,2087.8097,0.0,288507.79251626687
2025-01-01 04:45:00,291780.7846336836,2348.7859,0.0,294129.57053368364
2025-01-01 04:50:00,297141.58645110036,2609.7621,0.0,299751.34855110035
2025-01-01 04:55:00,302502.3882685171,2870.7383,0.0,305373.1265685171
2025-01-01 05:00:00,307863.1900859339,3131.7145,0.0,310994.9045859339
2025-01-01 05:05:00,309394.84774805297,3024.2537,0.0,312419.10144805297
2025-01-01 05:10:00,310926.50541017205,2916.7929,0.0,313843.29831017205
2025-01-01 05:15:00,312458.1630722911,2809.3321,0.0,315267.4951722911
2025-01-01 05:20:00,313989.8207344102,2701.8713,0.0,316691.6920344102
2025-01-01 05:25:00,315521.4783965292,2594.4105,0.0,318115.8888965292
2025-01-01 05:30:00,317053.1360586483,2486.9497,0.0,319540.0857586483
2025-01-01 05:35:00,318584.7937207674,2379.489,0.0,320964.2827207674
2025-01-01 05:40:00,320116.45138288644,2272.0282,0.0,322388.47958288644
2025-01-01 05:45:00,321648.1090450055,2164.5674,3.0108069,323809.66563810554
2025-01-01 05:50:00,323179.76670712465,2057.1066,48.537876,325188.33543112467
2025-01-01 05:55:00,324711.4243692437,1949.6458,91.787482,326569.28268724366
2025-01-01 06:00:00,326243.08203136275,1842.185,291.66484,327793.60219136276
2025-01-01 06:05:00,326243.08203136275,2364.1374,1456.0742,327151.1452313628
2025-01-01 06:10:00,326243.08203136275,2886.0898,1272.102,327857.06983136275
2025-01-01 06:15:00,326243.08203136275,3408.0422,2121.5459,327529.57833136275
2025-01-01 06:20:00,326243.08203136275,3929.9947,1719.3084,328453.76833136275
2025-01-01 06:25:00,326243.08203136275,4451.9471,1926.184,328768.84513136273
2025-01-01 06:30:00,326243.08203136275,4973.8995,1893.0703,329323.9112313627
2025-01-01 06:35:00,326243.08203136275,5495.8519,1477.519,330261.4149313628
2025-01-01 06:40:00,326243.08203136275,6017.8043,2250.4009,330010.48543136276
2025-01-01 06:45:00,326243.08203136275,6539.7567,8419.0249,324363.81383136276
2025-01-01 06:50:00,326243.08203136275,7061.7092,8374.6457,324930.14553136274
2025-01-01 06:55:00,326243.08203136275,7583.6616,8280.301,325546.44263136276
2025-01-01 07:00:00,326243.08203136275,8105.614,13579.123,320769.5730313627
2025-01-01 07:05:00,328157.6541090116,8474.051,14086.846,322544.85910901154
2025-01-01 07:10:00,330072.2261866604,8842.488,13385.778,325528.93618666043
2025-01-01 07:15:00,331986.79826430924,9210.925,14300.984,326896.73926430923
2025-01-01 07:20:00,333901.3703419581,9579.362,4868.3738,338612.35854195815
2025-01-01 07:25:00,335815.94241960696,9947.799,8328.094,337435.647419607
2025-01-01 07:30:00,337730.5144972558,10316.236,16808.877,331237.8734972558
2025-01-01 07:35:00,339645.0865749046,10684.673,18798.186,331531.57357490464
2025-01-01 07:40:00,341559.65865255345,11053.11,9322.748,343290.0206525534
2025-01-01 07:45:00,343474.23073020234,11421.547,9577.8512,345317.9265302024
2025-01-01 07:50:00,345388.8028078512,11789.984,5461.1317,351717.6551078512
2025-01-01 07:55:00,347303.37488550006,12158.421,11987.676,347474.11988550005
2025-01-01 08:00:00,349217.9469631489,12526.858,6056.0621,355688.7428631489
2025-01-01 08:05:00,350749.6046252679,12772.483,7312.9572,356209.1304252679
2025-01-01 08:10:00,352281.26228738704,13018.107,9273.0929,356026.2763873871
2025-01-01 08:15:00,353812.9199495061,13263.732,8801.3693,358275.2826495061
2025-01-01 08:20:00,355344.57761162514,13509.357,10051.747,358802.1876116252
2025-01-01 08:25:00,356876.23527374427,13754.981,8372.4733,362258.7429737442
2025-01-01 08:30:00,358407.89293586335,14000.606,8149.9563,364258.54263586336
2025-01-01 08:35:00,359939.55059798236,14246.231,11090.47,363095.3115979824
2025-01-01 08:40:00,361471.2082601015,14491.855,14472.915,361490.1482601015
2025-01-01 08:45:00,363002.8659222206,14737.48,12052.228,365688.11792222055
2025-01-01 08:50:00,364534.5235843396,14983.105,12295.227,367222.40158433956
2025-01-01 08:55:00,366066.1812464587,15228.729,12306.089,368988.82124645874
2025-01-01 09:00:00,367597.8389085778,15474.354,9383.2652,373688.9277085778
2025-01-01 09:05:00,368363.6677396373,15612.518,17630.049,366346.1367396373
2025-01-01 09:10:00,369129.4965706968,15750.682,13113.606,371766.5725706968
2025-01-01 09:15:00,369895.3254017564,15888.846,15695.051,370089.12040175643
2025-01-01 09:20:00,370661.1542328159,16027.009,16114.947,370573.21623281593
2025-01-01 09:25:00,371426.98306387546,16165.173,28957.622,358634.5340638755
2025-01-01 09:30:00,372192.81189493503,16303.337,19858.322,368637.82689493505
2025-01-01 09:35:00,372958.6407259945,16441.501,15354.603,374045.53872599447
2025-01-01 09:40:00,373724.46955705405,16579.665,10936.229,379367.90555705404
2025-01-01 09:45:00,374490.29838811356,16717.829,11570.263,379637.8643881136
2025-01-01 09:50:00,375256.1272191731,16855.993,10638.919,381473.20121917315
2025-01-01 09:55:00,376021.95605023263,16994.157,8132.2666,384883.84645023267
2025-01-01 10:00:00,376787.7848812922,17132.321,7447.3364,386472.7694812922
2025-01-01 10:05:00,377553.6137123517,17239.781,7857.6118,386935.7829123517
2025-01-01 10:10:00,378319.4425434112,17347.242,7023.0955,388643.58904341125
2025-01-01 10:15:00,379085.2713744708,17454.703,7229.4746,389310.49977447075
2025-01-01 10:20:00,379851.10020553035,17562.164,6533.9926,390879.27160553035
2025-01-01 10:25:00,380616.92903658986,17669.624,10330.126,387956.4270365899
2025-01-01 10:30:00,381382.75786764943,17777.085,10494.298,388665.54486764944
2025-01-01 10:35:00,382148.58669870894,17884.546,13875.191,386157.9416987089
2025-01-01 10:40:00,382914.41552976845,17992.007,10841.884,390064.5385297684
2025-01-01 10:45:00,383680.244360828,18099.468,10524.712,391255.000360828
2025-01-01 10:50:00,384446.0731918876,18206.928,9503.9892,393149.0119918876
2025-01-01 10:55:00,385211.9020229471,18314.389,13989.708,389536.58302294713
2025-01-01 11:00:00,385977.73085400666,18421.85,13238.675,391160.90585400665
2025-01-01 11:05:00,384446.0731918876,18145.522,31034.448,371557.1471918876
2025-01-01 11:10:00,382914.41552976845,17869.194,20328.805,380454.8045297685
2025-01-01 11:15:00,381382.75786764943,17592.867,12216.4,386759.2248676494
2025-01-01 11:20:00,379851.10020553035,17316.539,13063.951,384103.68820553034
2025-01-01 11:25:00,378319.4425434113,17040.211,12284.986,383074.6675434113
2025-01-01 11:30:00,376787.7848812922,16763.883,12538.848,381012.8198812922
2025-01-01 11:35:00,375256.1272191731,16487.556,13639.95,378103.7332191731
2025-01-01 11:40:00,373724.46955705405,16211.228,13993.122,375942.5755570541
2025-01-01 11:45:00,372192.81189493503,15934.9,12636.917,375490.79489493504
2025-01-01 11:50:00,370661.1542328159,15658.572,12606.813,373712.91323281586
2025-01-01 11:55:00,369129.4965706968,15382.245,15718.017,368793.7245706968
2025-01-01 12:00:00,367597.8389085778,15105.917,23694.49,359009.2659085778
2025-01-01 12:05:00,367214.924493048,14921.698,17866.842,364269.78049304796
2025-01-01 12:10:00,366832.01007751824,14737.48,14341.018,367228.47207751824
2025-01-01 12:15:00,366449.0956619885,14553.261,12795.192,368207.1646619885
