Hora,P_carga [kW],FC red,S max need
2025-01-01 07:45:00,194875.7201924752,1.4990440014805784,173222.86239331128
2025-01-01 07:50:00,196951.65111751683,1.5150127009039758,175068.13432668164
2025-01-01 07:55:00,196711.29774255853,1.5131638287889118,174854.48688227424
2025-01-01 08:00:00,199182.20256760015,1.53217078898154,177050.8467267557
2025-01-01 08:05:00,199839.43758763355,1.5372264429817968,177635.05563345208
2025-01-01 08:10:00,200343.6270076669,1.5411048231358992,178083.22400681503
2025-01-01 08:15:00,201377.0598277002,1.5490543063669246,179001.83095795574
2025-01-01 08:20:00,202035.71314773356,1.5541208703671814,179587.3005757632
2025-01-01 08:25:00,203331.9441677669,1.5640918782135917,180739.50592690392
2025-01-01 08:30:00,204311.1423878002,1.5716241722138478,181609.9043447113
2025-01-01 08:35:00,204601.97290783352,1.5738613300602582,181868.42036251872
2025-01-01 08:40:00,204796.62642786687,1.575358664829745,182041.44571365943
2025-01-01 08:45:00,206254.2104479002,1.5865708495992326,183337.07595368908
2025-01-01 08:50:00,207132.09866793352,1.593323835907181,184117.42103816313
2025-01-01 08:55:00,208060.50678796688,1.6004654368305145,184942.672700415
2025-01-01 09:00:00,209627.3705080002,1.6125182346769247,186335.44045155574
2025-01-01 09:05:00,208302.1530180169,1.6023242539847455,185157.46934934836
2025-01-01 09:10:00,209754.58562803356,1.613496812523335,186448.52055825206
2025-01-01 09:15:00,209662.3108380502,1.6127870064465402,186366.4985227113
2025-01-01 09:20:00,210040.45224806684,1.6156957865235912,186702.62422050387
2025-01-01 09:25:00,207715.03485808356,1.5978079604467967,184635.5865405187
2025-01-01 09:30:00,210164.83066810016,1.6166525436007706,186813.18281608904
2025-01-01 09:35:00,211614.49417811687,1.6278038013701297,188101.77260277056
2025-01-01 09:40:00,213045.58398813356,1.6388121845241046,189373.8524338965
2025-01-01 09:45:00,213377.12269815017,1.6413624822934632,189668.55350946684
2025-01-01 09:50:00,214049.33330816685,1.6465333331397451,190266.07405170388
2025-01-01 09:55:00,215064.3768181835,1.6543413601398733,191168.33494949646
2025-01-01 10:00:00,215682.96052820017,1.6590996963707707,191718.18713617796
2025-01-01 10:05:00,216054.9217382169,1.6619609364478223,192048.81932285946
2025-01-01 10:10:00,216697.7858482335,1.6669060449864115,192620.25408731867
2025-01-01 10:15:00,217114.12075825015,1.670108621217309,192990.32956288903
2025-01-01 10:20:00,217726.72696826688,1.6748209766789761,193534.86841623724
2025-01-01 10:25:00,217361.82687828352,1.6720140529098733,193210.51278069647
2025-01-01 10:30:00,217787.3471883002,1.6752872860638477,193588.75305626684
2025-01-01 10:35:00,217512.8153983169,1.673175503063976,193344.72479850388
2025-01-01 10:40:00,218634.2005083335,1.6818015423717962,194341.51156296313
2025-01-01 10:45:00,219164.4755183502,1.6858805809103863,194812.86712742242
2025-01-01 10:50:00,219847.86352836687,1.6911374117566682,195420.3231363261
2025-01-01 10:55:00,219332.8894383835,1.6871760726029503,194962.56838967424
2025-01-01 11:00:00,219957.5853484002,1.6919814257569246,195517.8536430224
2025-01-01 11:05:00,215145.66072836687,1.6549666209874376,191240.5873141039
2025-01-01 11:10:00,216536.47460833352,1.6656651892948733,192476.86631851867
2025-01-01 11:15:00,217362.9242883002,1.672022494525386,193211.48825626684
2025-01-01 11:20:00,216239.42666826685,1.6633802051405142,192212.8237051261
2025-01-01 11:25:00,215469.90614823357,1.6574608165248736,191528.8054650965
2025-01-01 11:30:00,214475.6125282002,1.6498124040630786,190644.98891395575
2025-01-01 11:35:00,213296.93470816684,1.6407456516012835,189597.2752961483
2025-01-01 11:40:00,212281.02818813352,1.6329309860625656,188694.24727834092
2025-01-01 11:45:00,211637.13206810015,1.6279779389853861,188121.8951716446
2025-01-01 11:50:00,210704.63754806685,1.620804904215899,187293.0111538372
2025-01-01 11:55:00,209088.50312803357,1.6083731009848738,185856.44722491875
2025-01-01 12:00:00,206413.5441080002,1.5877964931384632,183478.70587377794
2025-01-01 12:05:00,207416.0217029919,1.5955078592537837,184369.79706932613
2025-01-01 12:10:00,207917.55499798356,1.5993658076767967,184815.60444265205
2025-01-01 12:15:00,207988.1830929752,1.599909100715194,184878.38497153352
2025-01-01 12:20:00,207487.76058796688,1.5960596968305147,184433.5649670817
2025-01-01 12:25:00,207328.5500829585,1.5948350006381427,184292.04451818537
2025-01-01 12:30:00,207044.4581779502,1.5926496782919248,184039.5183804002
2025-01-01 12:35:00,207463.05237294183,1.5958696336380143,184411.60210928164
2025-01-01 12:40:00,207319.3085679335,1.594763912061027,184283.82983816313
2025-01-01 12:45:00,206842.4574629252,1.5910958266378863,183859.96218926687
2025-01-01 12:50:00,206866.88815791687,1.591283755060899,183881.67836259276
2025-01-01 12:55:00,206688.90155290856,1.589914627330066,183723.46804702983
2025-01-01 13:00:00,206235.0816479002,1.5864237049838479,183320.0725759113
2025-01-01 13:05:00,206625.10785290852,1.589423906560835,183666.7625359187
2025-01-01 13:10:00,206920.51045791688,1.5916962342916685,183929.34262925945
2025-01-01 13:15:00,207151.7500629252,1.5934750004840401,184134.8889448224
2025-01-01 13:20:00,206814.16786793352,1.5908782143687195,183834.8158826076
2025-01-01 13:25:00,206696.29327294187,1.5899714867149375,183730.0384648372
2025-01-01 13:30:00,207454.2097779502,1.59580161367654,184403.74202484463
2025-01-01 13:35:00,207613.04658295852,1.597023435253527,184544.93029596313
2025-01-01 13:40:00,207742.97618796685,1.5980228937535912,184660.42327819276
2025-01-01 13:45:00,208000.0836929752,1.600000643792117,184888.96328264463
2025-01-01 13:50:00,208222.94839798356,1.6017149876767967,185087.06524265205
2025-01-01 13:55:00,208422.64680299183,1.6032511292537834,185264.57493599274
2025-01-01 14:00:00,208519.1442080002,1.603993416984617,185350.3504071113
2025-01-01 14:05:00,208382.51000299188,1.6029423846383992,185228.89778043726
2025-01-01 14:10:00,208238.44659798357,1.6018342045998737,185100.84142042985
2025-01-01 14:15:00,207872.3114929752,1.599017780715194,184775.38799375572
2025-01-01 14:20:00,205034.6852879669,1.5771898868305145,182253.0535893039
2025-01-01 14:25:00,203337.7419829585,1.5641364767919888,180744.6595404076
2025-01-01 14:30:00,204862.5919779502,1.5758660921380785,182100.08175817796
2025-01-01 14:35:00,206005.97587294187,1.5846613528687838,183116.42299817057
2025-01-01 14:40:00,206272.4880679335,1.5867114466764116,183353.322727052
2025-01-01 14:45:00,206158.8850629252,1.5858375774071172,183252.34227815576
2025-01-01 14:50:00,203985.17705791688,1.5691167465993605,181320.15738481501
2025-01-01 14:55:00,206203.79775290852,1.586183059637758,183292.26466925204
2025-01-01 15:00:00,205244.7291479002,1.5788056088300018,182439.75924257797
2025-01-01 15:05:00,205705.35344790015,1.582348872676155,182849.20306480015
2025-01-01 15:10:00,206306.7310479002,1.586974854214617,183383.76093146685
2025-01-01 15:15:00,206495.10164790016,1.5884238588300013,183551.20146480013
2025-01-01 15:20:00,206338.14014790015,1.5872164626761551,183411.6801314668
2025-01-01 15:25:00,206878.25904790015,1.591371223445386,183891.7858203557
