ASCII Name;Population;LABEL EN;Classification
Tibana;1802;Colombia;Small City
Tasco;1811;Colombia;Small City
Murillo;1860;Colombia;Small City
Campamento;1870;Colombia;Small City
Sesquile;1876;Colombia;Small City
Iles;1879;Colombia;Small City
Ubala;1886;Colombia;Small City
Totoro;1888;Colombia;Small City
Quipile;1896;Colombia;Small City
Novita;1898;Colombia;Small City
Supata;1907;Colombia;Small City
Laureles;1910;Colombia;Small City
Angelopolis;1917;Colombia;Small City
Guatavita;1920;Colombia;Small City
Carmen de Carupa;1928;Colombia;Small City
Cucutilla;1950;Colombia;Small City
Jambalo;1972;Colombia;Small City
Barrio San Luis;2000;Colombia;Small City
Tamara;2007;Colombia;Small City
Los Cordobas;2007;Colombia;Small City
Montebello;2007;Colombia;Small City
Carlosama;2010;Colombia;Small City
Guayabetal;2017;Colombia;Small City
Paratebueno;2027;Colombia;Small City
San Luis de Palenque;2032;Colombia;Small City
Armenia;2035;Colombia;Small City
San Calixto;2080;Colombia;Small City
Buenavista;2084;Colombia;Small City
Santana;2091;Colombia;Small City
Cachira;2097;Colombia;Small City
Gueican;2101;Colombia;Small City
Aratoca;2101;Colombia;Small City
Puerto Narino;2113;Colombia;Small City
Raquira;2120;Colombia;Small City
Altamira;2123;Colombia;Small City
Firavitoba;2136;Colombia;Small City
Buenos Aires;2144;Colombia;Small City
Simacota;2156;Colombia;Small City
Guadalupe;2181;Colombia;Small City
Socota;2193;Colombia;Small City
Briceno;2214;Colombia;Small City
Anzoategui;2229;Colombia;Small City
Nataga;2232;Colombia;Small City
Santa Maria;2238;Colombia;Small City
Consaca;2239;Colombia;Small City
Morelia;2257;Colombia;Small City
El Carmen;2258;Colombia;Small City
Vergara;2267;Colombia;Small City
Cubarral;2280;Colombia;Small City
Uramita;2292;Colombia;Small City
El Penol;2294;Colombia;Small City
Mongui;2299;Colombia;Small City
Balboa;2302;Colombia;Small City
Mongua;2322;Colombia;Small City
Jurado;2351;Colombia;Small City
Murindo;2372;Colombia;Small City
El Tablon;2373;Colombia;Small City
Buritica;2388;Colombia;Small City
San Jose del Palmar;2392;Colombia;Small City
Heliconia;2403;Colombia;Small City
Mountain;2404;Colombia;Small City
La Cumbre;2432;Colombia;Small City
Cerrito;2435;Colombia;Small City
Hispania;2468;Colombia;Small City
Santacruz;2469;Colombia;Small City
Gueepsa;2471;Colombia;Small City
Nocaima;2475;Colombia;Small City
Suaza;2481;Colombia;Small City
Funes;2508;Colombia;Small City
Gualmatan;2510;Colombia;Small City
Bochalema;2511;Colombia;Small City
Sabanalarga;2517;Colombia;Small City
Concepcion;2520;Colombia;Small City
Valle de San Jose;2522;Colombia;Small City
Sucre;2552;Colombia;Small City
Lenguazaque;2555;Colombia;Small City
San Luis de Gaceno;2579;Colombia;Small City
El Castillo;2581;Colombia;Small City
Ricaurte;2617;Colombia;Small City
Ulloa;2621;Colombia;Small City
Sapuyes;2628;Colombia;Small City
San Juan de Arama;2636;Colombia;Small City
