Hora,P_base [kW],P_VE [kW],P_DER [kW],P_carga [kW]
2025-01-01 02:45:00,765394.2358852464,2889.0067,0.0,768283.2425852465
2025-01-01 02:50:00,764072.3114709368,2696.4063,0.0,766768.7177709368
2025-01-01 02:55:00,762750.3870566273,2503.8058,0.0,765254.1928566273
2025-01-01 03:00:00,761428.4626423176,2311.2054,0.0,763739.6680423176
2025-01-01 03:05:00,768038.0847138655,2118.6049,0.0,770156.6896138656
2025-01-01 03:10:00,774647.7067854134,1926.0045,0.0,776573.7112854135
2025-01-01 03:15:00,781257.3288569613,1733.404,0.0,782990.7328569613
2025-01-01 03:20:00,787866.9509285092,1540.8036,0.0,789407.7545285092
2025-01-01 03:25:00,794476.5730000571,1348.2031,0.0,795824.7761000572
2025-01-01 03:30:00,801086.195071605,1155.6027,0.0,802241.7977716051
2025-01-01 03:35:00,807695.8171431529,963.00225,0.0,808658.819393153
2025-01-01 03:40:00,814305.4392147008,770.4018,0.0,815075.8410147008
2025-01-01 03:45:00,820915.0612862488,577.80135,0.0,821492.8626362488
2025-01-01 03:50:00,827524.6833577967,385.2009,0.0,827909.8842577968
2025-01-01 03:55:00,834134.3054293446,192.60045,0.0,834326.9058793447
2025-01-01 04:00:00,840743.9275008924,0.0,0.0,840743.9275008924
2025-01-01 04:05:00,859250.8693012267,1091.4025,0.0,860342.2718012267
2025-01-01 04:10:00,877757.8111015607,2182.8051,0.0,879940.6162015607
2025-01-01 04:15:00,896264.7529018949,3274.2077,0.0,899538.9606018949
2025-01-01 04:20:00,914771.6947022289,4365.6102,0.0,919137.3049022289
2025-01-01 04:25:00,933278.636502563,5457.0127,0.0,938735.649202563
2025-01-01 04:30:00,951785.5783028973,6548.4153,0.0,958333.9936028973
2025-01-01 04:35:00,970292.5201032312,7639.8178,0.0,977932.3379032311
2025-01-01 04:40:00,988799.4619035654,8731.2204,0.0,997530.6823035654
2025-01-01 04:45:00,1007306.4037038995,9822.623,0.0,1017129.0267038995
2025-01-01 04:50:00,1025813.3455042336,10914.025,0.0,1036727.3705042336
2025-01-01 04:55:00,1044320.2873045676,12005.428,0.0,1056325.7153045677
2025-01-01 05:00:00,1062827.229104902,13096.831,0.0,1075924.060104902
2025-01-01 05:05:00,1068114.9267621401,12647.43,0.0,1080762.35676214
2025-01-01 05:10:00,1073402.6244193786,12198.029,0.0,1085600.6534193787
2025-01-01 05:15:00,1078690.3220766168,11748.627,0.0,1090438.949076617
2025-01-01 05:20:00,1083978.019733855,11299.226,0.0,1095277.245733855
2025-01-01 05:25:00,1089265.7173910933,10849.825,0.0,1100115.5423910932
2025-01-01 05:30:00,1094553.4150483315,10400.424,0.0,1104953.8390483316
2025-01-01 05:35:00,1099841.11270557,9951.0233,0.0,1109792.13600557
2025-01-01 05:40:00,1105128.8103628082,9501.6222,0.0,1114630.4325628083
2025-01-01 05:45:00,1110416.5080200466,9052.2212,10.394122,1119458.3350980466
2025-01-01 05:50:00,1115704.205677285,8602.8201,167.56591,1124139.459867285
2025-01-01 05:55:00,1120991.9033345233,8153.419,316.87528,1128828.4470545233
2025-01-01 06:00:00,1126279.6009917615,7704.018,1006.9061,1132976.7128917614
2025-01-01 06:05:00,1126279.6009917615,9886.8231,5026.7631,1131139.6609917614
2025-01-01 06:10:00,1126279.6009917615,12069.628,4391.6411,1133957.5878917617
2025-01-01 06:15:00,1126279.6009917615,14252.433,7324.1517,1133207.8822917615
2025-01-01 06:20:00,1126279.6009917615,16435.238,5935.5189,1136779.3200917614
2025-01-01 06:25:00,1126279.6009917615,18618.043,6649.7097,1138247.9342917616
2025-01-01 06:30:00,1126279.6009917615,20800.849,6535.392,1140545.0579917615
2025-01-01 06:35:00,1126279.6009917615,22983.654,5100.7964,1144162.4585917615
2025-01-01 06:40:00,1126279.6009917615,25166.459,7768.9942,1143677.0657917615
2025-01-01 06:45:00,1126279.6009917615,27349.264,29064.757,1124564.1079917615
2025-01-01 06:50:00,1126279.6009917615,29532.069,28911.548,1126900.1219917615
2025-01-01 06:55:00,1126279.6009917615,31714.874,28585.845,1129408.6299917616
2025-01-01 07:00:00,1126279.6009917615,33897.679,46878.814,1113298.4659917615
2025-01-01 07:05:00,1132889.2230633094,35438.483,48631.613,1119696.0930633096
2025-01-01 07:10:00,1139498.8451348573,36979.286,46211.336,1130266.7951348575
2025-01-01 07:15:00,1146108.467206405,38520.09,49370.875,1135257.682206405
2025-01-01 07:20:00,1152718.0892779531,40060.894,16806.947,1175972.0362779533
2025-01-01 07:25:00,1159327.711349501,41601.697,28750.839,1172178.569349501
2025-01-01 07:30:00,1165937.333421049,43142.501,58028.804,1151051.0304210489
2025-01-01 07:35:00,1172546.9554925968,44683.304,64896.435,1152333.8244925968
2025-01-01 07:40:00,1179156.5775641447,46224.108,32184.655,1193196.0305641447
2025-01-01 07:45:00,1185766.1996356926,47764.912,33065.34,1200465.7716356926
